"id","created_at","created_by","campus","slug","name","aka","geoloc","type","image_url","description","address","postal_code","state","city","departments","rooms","country","last_updated_at","last_updated_by"
1903,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"08-050p",Gsb Garage,"{08-050p,""Gsb Garage"",""Knight - Parking Structure Vii"",""Knight Management Center Garage"",""Ps 7""}","{""lat"": 37.428149, ""lon"": -122.160877}","{""""}","","","655 Knight Way",94305,CA,Stanford,"{""""}","{""""}",US,,
1626,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"01-100",Building 100,"{01-100,""Building 100"",""Building 100 - Main Quad"",""Building 100, Main Quad"",""Building 100"",Linguis,Philosophy}","{""lat"": 37.42808165, ""lon"": -122.17096679}","{""""}","","","450 Serra Mall, Building 100",94305,CA,Stanford,"{""""}","{100-101k,100-102k}",US,,
1959,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"09-570",Rstrms-St,"{09-570,Rstrms-St}","{""lat"": 37.43362862, ""lon"": -122.16213434}","{""""}","","",Gate 5 - Men'S & Women'S Restrooms,94305,CA,Stanford,"{""""}","{""""}",US,,
1628,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"01-120","Building 120, Main Quad","{01-120,""Building 120, Main Quad"",""Mcclatchy Hall"",""Mendenhall B"",""Mendenhall Library"",Sociology,""Urban Studies""}","{""lat"": 37.42831533, ""lon"": -122.16949722}","{""""}","","","450 Serra Mall, Building 120",94305,CA,Stanford,"{""""}","{120-101,120-215,120-314,120-410,120-414,120-450,120-59,120-S40,120-S60,120-S64}",US,,
2272,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,esf-building-b,Esf Building B,"{""Esf - Building B"",""Esf Building B"",""Occupational Health Center""}","{""lat"": 37.42934955, ""lon"": -122.18527758}","{""""}","","","",94305,CA,Stanford,"{""""}","{""""}",US,,
2346,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,faculty,"",{Faculty},"{""lat"": 37.423698, ""lon"": -122.172343}","{""""}","","","",94305,CA,Stanford,"{""""}","{""""}",US,,
2357,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,med,Med,{Med},"{""lat"": 37.433112, ""lon"": -122.176093}","{""""}","","","",94305,CA,Stanford,"{""""}","{""""}",US,,
1694,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"02-921",Storey Dining,"{02-921,""Storey Dining"",Storey}","{""lat"": 37.42324111, ""lon"": -122.16973913}","{""""}","","","544 Lasuen Mall",94305,CA,Stanford,"{""""}","{""""}",US,,
1624,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"01-080","80-113","{01-080,80-113,80-204,80-203,80-115,80-205,""Building 80"",""Building 80"",""Building 80 - Main Quad"",""Building 80"",""Building 80, Main Quad"",Hum.Bio.}","{""lat"": 37.42748441, ""lon"": -122.17141463}","{""""}","","","450 Serra Mall, Building 80",94305,CA,Stanford,"{""""}","{""""}",US,,
1625,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"01-090","90-92q","{01-090,90-92q,90-91b,""Building 90"",""Building 90"",""Building 090, Main Quad"",""Building 90"",""Philosophy Library (Tanner)""}","{""lat"": 37.42793484, ""lon"": -122.1712637}","{""""}","","","450 Serra Mall, Building 90",94305,CA,Stanford,"{""""}","{""""}",US,,
1852,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"371-ns-axis",C Gazebo 1,"{""371 North-South Axis"",""C Gazebo 1"",""Chemistry Conference (Gazebo I)""}","{""lat"": 37.4310135, ""lon"": -122.17224677}","{""""}","","","",94305,CA,Stanford,"{""""}","{""""}",US,,
1887,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"07-971t","1215 Welch Road","{07-971t,""1215 Welch Road"",1215f,""Modular F""}","{""lat"": 37.43270288, ""lon"": -122.17916835}","{""""}","","","1215 Welch Road - Modular F",94305,CA,Stanford,"{""""}","{""""}",US,,
1923,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"09-130",Steam,"{09-130,Steam,""Steam Shop""}","{""lat"": 37.42835711, ""lon"": -122.15756393}","{""""}","","","321 Bonair Siding",94305,CA,Stanford,"{""""}","{""""}",US,,
2419,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,tresidder,Union Square,"{Tresidder,""Union Square""}","{""lat"": 37.424237, ""lon"": -122.170927}","{""""}","","","",94305,CA,Stanford,"{""""}","{""""}",US,,
2114,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"10-237",Rains 237,"{10-237,""Rains 237"",""Rains, Building 237""}","{""lat"": 37.42276877, ""lon"": -122.16047082}","{""""}","","","237 Ayrshire Farm Lane",94305,CA,Stanford,"{""""}","{""""}",US,,
2115,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"10-238",Rains 238,"{10-238,""Rains 238"",""Rains, Building 238""}","{""lat"": 37.42275183, ""lon"": -122.16078952}","{""""}","","","238 Ayrshire Farm Lane",94305,CA,Stanford,"{""""}","{""""}",US,,
2116,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"10-300",Bing Nursery School,"{10-300,""Bing Nursery School"",Bingschool}","{""lat"": 37.42212715, ""lon"": -122.15635442}","{""""}","","","850 Escondido Road",94305,CA,Stanford,"{""""}","{""""}",US,,
2117,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"10-310",Tower House,"{10-310,""Tower House"",""Tower Hs""}","{""lat"": 37.42215391, ""lon"": -122.15584363}","{""""}","","","860 Escondido Road",94305,CA,Stanford,"{""""}","{""""}",US,,
2118,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"10-455","Escondido Village, Studio 3","{10-455,""Escondido Village, Studio 3"",""Studio 3""}","{""lat"": 37.42559157, ""lon"": -122.15467528}","{""""}","","","37 Angell Courts",94305,CA,Stanford,"{""""}","{""""}",US,,
2119,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"10-370",Scra,"{10-370,Scra,""Scra - Sport Complex""}","{""lat"": 37.42031621, ""lon"": -122.15722815}","{""""}","","","875 Bowdoin Street",94305,CA,Stanford,"{""""}","{""""}",US,,
2120,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"10-460","Escondido Village, Studio 4","{10-460,""Escondido Village, Studio 4"",""Studio 4""}","{""lat"": 37.42591476, ""lon"": -122.15448688}","{""""}","","","51 Dudley Lane",94305,CA,Stanford,"{""""}","{""""}",US,,
2121,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"10-465","Escondido Village, Studio 6","{10-465,""Escondido Village, Studio 6""}","{""lat"": 37.42547779, ""lon"": -122.15298242}","{""""}","","","47 Olmsted Road",94305,CA,Stanford,"{""""}","{""""}",US,,
