id,created_at,created_by,last_updated_at,last_updated_by,campus,slug,name,aka,geoloc,type,image_url,description,address,postal_code,state,city,departments,rooms,country
2051,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-109,escondido iii midrise-mcfarland,"{""10-109"",""escondido iii midrise-mcfarland"",""escondido village, mcfarland"",""mcfarland""}","{""lat"":37.42602276,""lon"":-122.15644569}",,,,720 serra street.,94305,CA,Stanford,,,US
2052,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-119,escondido iv highrise-quillen,"{""10-119"",""escondido iv highrise-quillen"",""escondido village, quillen"",""quillen""}","{""lat"":37.42585157,""lon"":-122.15876941}",,,,737 campus drive,94305,CA,Stanford,,,US
2054,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-127,escondido village v - unit 127,"{""10-127"",""escondido village v - unit 127"",""escondido village, building 127"",""ev v""}","{""lat"":37.42327889,""lon"":-122.15874415}",,,,127 running farm lane,94305,CA,Stanford,,,US
2055,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-128,escondido village v - unit 128,"{""10-128"",""escondido village v - unit 128"",""escondido village, building 128"",""unit-128""}","{""lat"":37.42314165,""lon"":-122.15853406}",,,,128 running farm lane,94305,CA,Stanford,,,US
2056,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-129,escondido village v - unit 129,"{""10-129"",""escondido village v - unit 129"",""escondido village, building 129"",""unit-129""}","{""lat"":37.42299951,""lon"":-122.15831611}",,,,129 running farm lane,94305,CA,Stanford,,,US
2057,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-130,escondido village v - unit 130,"{""10-130"",""escondido village v - unit 130"",""escondido village, building 130"",""unit-130""}","{""lat"":37.42318723,""lon"":-122.15808581}",,,,130 running farm lane,94305,CA,Stanford,,,US
2058,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-131,escondido village v - unit 131,"{""10-131"",""escondido village v - unit 131"",""escondido village, building 131"",""unit-131""}","{""lat"":37.42306431,""lon"":-122.15797584}",,,,131 running farm lane,94305,CA,Stanford,,,US
2059,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-133,escondido village v - unit 133,"{""10-133"",""escondido village v - unit 133"",""escondido village, building 133"",""unit-133""}","{""lat"":37.42271457,""lon"":-122.1582442}",,,,133 running farm lane,94305,CA,Stanford,,,US
2084,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-207,rains 207,"{""10-207"",""rains 207"",""rains, building 207""}","{""lat"":37.42206892,""lon"":-122.15805879}",,,,207 running farm lane,94305,CA,Stanford,,,US
2060,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-132,escondido village v - unit 132,"{""10-132"",""escondido village v - unit 132"",""escondido village, building 132"",""unit-132""}","{""lat"":37.42296565,""lon"":-122.15812524}",,,,132 running farm lane,94305,CA,Stanford,,,US
2061,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-134,escondido village v - unit 134,"{""10-134"",""escondido village v - unit 134"",""escondido village, building 134"",""unit-134""}","{""lat"":37.42268854,""lon"":-122.15804886}",,,,134 running farm lane,94305,CA,Stanford,,,US
2062,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-135,escondido village v - unit 135,"{""10-135"",""escondido village v - unit 135"",""escondido village, building 135"",""unit-135""}","{""lat"":37.42262397,""lon"":-122.15840251}",,,,135 running farm lane,94305,CA,Stanford,,,US
